Site,TMRCA,low,high
25.0,1.3840281279267679,1.0217789940425654,1.1815874768424008
75.0,1.3842212633653703,1.021972129481168,1.180248131068726
125.0,1.384088895800364,1.0218397619161617,1.1790246553692232
175.0,1.3842212633653703,1.021972129481168,1.177567986494185
225.0,1.3842212633653703,1.021972129481168,1.1773334040061794
275.0,1.3848613780329377,1.0226122441487355,1.1755300709685805
325.0,1.3857985692806414,1.023549435396439,1.172516426941461
375.0,1.3861973063083455,1.0239481724241433,1.1727223441402241
425.0,1.3864500781137157,1.0242009442295132,1.1716483799608135
475.0,1.3861905961773595,1.0239414622931573,1.1705011723547303
525.0,1.386074453085871,1.0238253192016686,1.1688156123824116
575.0,1.385885244964338,1.0236361110801355,1.1657983826904432
625.0,1.386152206706554,1.0239030728223515,1.1634603977046931
675.0,1.3861973063083455,1.0239481724241433,1.1629448760378556
725.0,1.386074453085871,1.0238253192016686,1.1605379084252234
775.0,1.3851813266394073,1.022932192755205,1.1583309755770799
825.0,1.3848613780329377,1.0226122441487355,1.1568602136775583
875.0,1.3842212633653703,1.021972129481168,1.1560016543324132
925.0,1.3839607087669734,1.021711574882771,1.1542167157383874
975.0,1.383826862694464,1.0215777288102617,1.1516693685834325
1025.0,1.3833371240737644,1.021087990189562,1.1486418563598157
1075.0,1.3825945961941863,1.020345462309984,1.1484894830584669
1125.0,1.3829560324888026,1.0207068986046002,1.1492412799717393
1175.0,1.3821197301766173,1.019870596292415,1.147087121248206
1225.0,1.3817347893733996,1.0194856554891971,1.1445757229553661
1275.0,1.3812622990557009,1.0190131651714984,1.1432192539531776
1325.0,1.3812622990557009,1.0190131651714984,1.1426429887977878
1375.0,1.380433048565507,1.0181839146813045,1.1419711007709135
1425.0,1.3795732626284753,1.017324128744273,1.136534340984389
1475.0,1.3792651153790318,1.0170159814948296,1.1357673183411534
1525.0,1.3792651153790318,1.0170159814948296,1.131676521623573
1575.0,1.3786054173762805,1.0163562834920783,1.1312527395176897
1625.0,1.3777460586463943,1.0154969247621919,1.1328845340349398
1675.0,1.3775579211648892,1.015308787280687,1.1324991898154608
1725.0,1.3770622796602228,1.0148131457760203,1.1321282687636554
1775.0,1.3760344219865008,1.0137852881022984,1.1311221405765612
1825.0,1.375235422546119,1.0129862886619168,1.1301499827114916
1875.0,1.3748452124709014,1.0125960785866992,1.1298751493330106
1925.0,1.375022340592971,1.0127732067087685,1.1299677253329572
