iter, logposterior
2, -197.50610827582057
3, -310.0990491206022
4, -206.37749986315453
5, -221.21056593192046
6, -208.89877220769552
7, -293.2782053941474
8, -256.26938197281146
9, -316.3141636778988
10, -201.14344018229207
11, -233.3115315711652
12, -220.6002462272308
13, -213.96680235002347
14, -237.4992725654438
15, -230.54330638145944
16, -227.12282704076347
17, -211.65713229244815
18, -229.13192403394683
19, -247.83386498751028
20, -239.54132341609554
21, -270.2825896357866
22, -193.11148916826107
23, -238.40354813550022
24, -200.62510018026683
25, -230.22497309209774
26, -239.57916306041224
27, -217.6110544278835
28, -227.89518685552608
29, -186.4988667489988
30, -224.04836022466222
31, -214.59711751033234
32, -237.68750187160487
33, -221.73026100734103
34, -184.92407560059422
35, -188.6087833128723
36, -231.2125528115352
37, -184.35437807528206
38, -197.34958622729076
39, -197.1616309347636
40, -228.6237585719025
41, -190.1927223168441
42, -168.37864066170255
43, -217.95702289247623
44, -244.36520646581764
45, -172.3353818252606
46, -178.4779961709774
47, -197.6009568246551
48, -236.52294982526428
49, -175.17715873245643
50, -206.05417659126527
51, -214.43102740098104
52, -174.47057821580754
53, -165.27408488116112
54, -212.5389715083864
55, -211.06606359953568
56, -182.53189656004395
57, -214.62652357772578
58, -185.68698681128214
59, -201.97113960504603
60, -201.33960332394096
61, -173.33832820893906
62, -203.18024354839156
63, -165.974968744294
64, -195.2460889979778
65, -163.81494803418838
66, -191.05156870018448
67, -175.35369199867358
68, -166.7709340441315
69, -207.76242757471155
70, -172.76255960448282
71, -181.41143708484722
72, -178.4327238529143
73, -209.97153301015643
74, -193.77447724118738
75, -178.92682135271502
76, -177.41945532324837
77, -187.3928442019194
78, -171.018398587003
79, -173.63587012054714
80, -170.82130582539702
81, -208.49799464523872
82, -200.60988321772697
83, -176.58922078739351
84, -241.03619559501738
85, -194.05335183060313
86, -188.29386959248632
87, -174.56013323182097
88, -180.17993682542289
89, -175.43432815119704
90, -169.0974212595315
91, -175.7328265666058
92, -247.029461778722
93, -180.92411304457738
94, -161.0479631871825
95, -206.09833781712945
96, -159.13718137177747
97, -187.09629896019342
98, -185.86350629077822
99, -181.84841470587634
100, -189.48832723809022
101, -176.73012988043044
102, -174.4425797540519
103, -210.75445085881717
104, -235.40888260525972
105, -168.27423243891621
106, -161.45581665442813
107, -207.343641501582
108, -160.54749358663452
109, -179.55730280862122
110, -185.44386783443633
111, -191.29923823598358
112, -160.57710478751403
113, -225.71774430632618
114, -216.39968604553877
115, -167.09969096960268
116, -213.0796848993326
117, -196.24814360859148
118, -175.77140436096687
119, -193.13808306785538
120, -199.99786968944215
121, -195.79882643954207
122, -174.57555099608098
123, -159.1805903418013
124, -169.5314909762243
125, -159.6313373255938
126, -183.44387714268356
127, -176.98415934721956
128, -199.99537140872698
129, -178.1914862338808
130, -198.53049332074903
131, -185.13657945855053
132, -200.3839174009484
133, -178.02684751058936
134, -161.99093213350264
135, -181.3686977558845
136, -219.45611304093384
137, -168.6186436502772
138, -176.81217711642992
139, -162.93050045548785
140, -186.80186768889138
141, -172.8338281974151
142, -174.56334299554896
143, -182.50604580323912
144, -262.70434212864467
145, -172.94081170558852
146, -187.18208935587793
147, -176.42761999193456
148, -175.11586571482172
149, -164.8850694494565
150, -196.55025741058063
151, -175.20319963480918
152, -195.41672849422923
153, -162.73733451345794
154, -199.34934527251417
155, -159.54859834462118
156, -221.15312961704902
157, -176.42304287003023
158, -198.6726593548989
159, -174.13813424680018
160, -162.42981477160725
161, -176.75891297148956
162, -171.65538054699724
163, -177.28643047651838
164, -215.38044147858596
165, -161.18457564580552
166, -182.22301562747953
167, -175.9266225193729
168, -188.07957897604666
169, -164.96309802518957
170, -200.04351789426647
171, -170.1820102836821
172, -187.6521272192828
173, -194.77894599831671
174, -186.6702145632812
175, -183.30793281954922
176, -187.89988068870488
177, -183.68550805861324
178, -169.7303888598797
179, -160.51500965177206
180, -207.2878888264313
181, -171.20023308417134
182, -184.17017941058117
183, -181.57899276286818
184, -190.11776036583666
185, -176.52174492860445
186, -173.12943920953072
187, -206.3964128039439
188, -228.6533999839129
189, -163.2669643268041
190, -195.96415190230084
191, -163.0247191063545
192, -243.72231128085093
193, -204.93127135996238
194, -193.30892681018702
195, -174.18858588026657
196, -182.46735247208767
197, -187.06008579796807
198, -191.287693478286
199, -183.67284522548044
200, -214.68809760612538
201, -177.4278018095605
202, -184.79125631351056
203, -187.02041558759987
204, -180.433379376715
205, -174.30700876564123
206, -162.67481277612552
207, -192.21409254351622
208, -211.59553530678184
209, -176.55826222236425
210, -210.25628258030036
211, -185.45536178806117
212, -180.34075431104074
213, -203.60563183057604
214, -200.04318271400007
215, -195.69854590370906
216, -192.43187830222342
217, -182.12852932008644
218, -182.3246244863994
219, -198.55451905345518
220, -178.33655136606737
221, -213.12041300971075
222, -163.68672307172537
223, -200.9364594416391
224, -223.25481256863537
225, -184.2542233773119
226, -215.11476391609924
227, -196.721544947542
228, -218.6624814068916
229, -187.0017856749781
230, -193.58655259405003
231, -172.09700789920745
232, -201.22177054477186
233, -161.43237426219335
234, -200.74555329167035
235, -201.03170730440453
236, -164.68238230381277
237, -161.36767849563586
238, -170.93791103448962
239, -184.65525602510758
240, -223.84086340309682
241, -177.94853114170039
242, -186.6564938968111
243, -188.2014584522481
244, -191.83543874310067
245, -161.53737255444338
246, -167.04074257428655
247, -189.3476490955752
248, -169.29047094691384
249, -182.1967646088379
250, -179.00406524881413
251, -164.63775594949354
252, -196.18117724568552
253, -160.37283812548984
254, -169.6837110719879
255, -164.94781899677324
256, -236.25280065522247
257, -210.13176206273567
258, -186.68223306810773
259, -187.09348556775905
260, -177.59640380908823
261, -167.44857373326522
262, -189.07778250102453
263, -180.9626329985232
264, -169.4458389417459
265, -185.85548709144572
266, -170.14016970009246
267, -198.36050198711914
268, -166.85715948127
269, -185.55027694875895
270, -187.83092073247357
271, -168.15136869019415
272, -188.72777330234766
273, -186.02858437986325
274, -178.3933542178754
275, -221.83568553665222
276, -182.6366711499019
277, -197.53480903505456
278, -165.1107205484831
279, -204.28720642017385
280, -173.55144097947385
281, -161.43331444419252
282, -179.01901200693743
283, -185.69338220580357
284, -178.18512834021587
285, -209.727380964057
286, -179.67298306713863
287, -192.76673747406932
288, -202.00960108434015
289, -191.09689981544108
290, -182.40544990105388
291, -172.5512299298778
292, -195.52395888576223
293, -168.42674934268464
294, -189.99690483586633
295, -188.63427589096108
296, -201.26334885048442
297, -161.36476989102857
298, -185.68934359490868
299, -182.32707677466982
300, -165.49711259887263
301, -159.72278265016138
302, -172.009419274472
303, -219.30203968101242
304, -190.3596832465662
305, -175.8550567939792
306, -187.4462025649164
307, -166.3517630565354
308, -186.63450289938297
309, -182.92871874904202
310, -167.34763723698424
311, -197.53199786134036
312, -202.18109962256082
313, -172.89816357224433
314, -166.94724222339545
315, -165.36059787177285
316, -180.23080378092493
317, -168.65060380413234
318, -179.03524384172866
319, -168.65059881225278
320, -182.9080161112902
321, -173.18596073362852
322, -188.45957826699663
323, -172.21210124925324
324, -166.35121798810323
325, -166.90454207799834
326, -166.3801618542164
327, -210.69456972435813
328, -203.49475726607986
329, -178.62208650613158
330, -185.84676283130142
331, -190.30092121901814
332, -182.23703410378104
333, -174.9438588834661
334, -194.94979208154123
335, -173.29567347776984
336, -207.6738449371187
337, -193.41296229547052
338, -166.02996197916002
339, -163.9869394302547
340, -180.0418383363169
341, -162.5889157014872
342, -169.33501311761398
343, -177.60917535495705
344, -184.92660089352503
345, -167.68475663358552
346, -178.2034404286268
347, -183.56934672139968
348, -170.88191922009443
349, -173.7785072133111
350, -211.15016387040419
351, -184.69672513383966
352, -177.93386780141037
353, -183.28663889756703
354, -167.4257139517451
355, -186.0738366645424
356, -165.5385821613438
357, -201.60622010270322
358, -208.1824532014806
359, -214.2835134653072
360, -170.67078840360892
361, -168.72555440089664
362, -197.8444557003722
363, -173.3181033034014
364, -165.2076499387889
365, -162.27223405708696
366, -162.49787889138247
367, -192.17895775772212
368, -200.72780642321223
369, -159.83215758787966
370, -189.16790627402278
371, -160.61829363147822
372, -176.00139183370743
373, -187.50252827999157
374, -193.94627584779633
375, -188.98296593066542
376, -205.3324073093601
377, -203.50564941502944
378, -160.52771971794783
379, -169.92149068541835
380, -179.26945868370973
381, -171.71679645577072
382, -188.18510581473862
383, -174.3350226087113
384, -169.07493215383855
385, -160.81650120623743
386, -181.41855782764873
387, -177.5714169508902
388, -185.83277994933638
389, -162.50435320464211
390, -210.75649903298512
391, -163.52639841290235
392, -175.8896052541082
393, -184.893812975743
394, -174.58111383716013
395, -175.3434609717186
396, -177.9046899953903
397, -177.1052940293485
398, -203.6763111908564
399, -173.72956800156646
400, -202.48587166866704
401, -160.7564013748492
402, -200.47745017983715
403, -187.630931300803
404, -193.83739682893807
405, -189.9658744347867
406, -174.8168842870653
407, -168.01286988774456
408, -166.20569282051608
409, -172.9771608038322
410, -193.71985636893288
411, -184.1672624270439
412, -168.4550108040236
413, -161.0608232630454
414, -193.99076265607914
415, -160.45494044476234
416, -177.69564609336828
417, -178.12625423169132
418, -177.92980892989834
419, -188.14239963276538
420, -178.11112661893276
421, -187.8488821329737
422, -162.97546113519468
423, -173.60804232761103
424, -166.97475721406033
425, -205.3874990669185
426, -190.5222056540053
427, -172.2038229484936
428, -182.40890444873983
429, -190.82695735218476
430, -218.31633315500832
431, -163.81526424844802
432, -176.95876702658444
433, -178.62981343340064
434, -178.09733286432365
435, -176.14545112373827
436, -194.57817016605057
437, -171.3752228974115
438, -168.12542347830978
439, -187.03584187207935
440, -178.96967174144405
441, -182.18599801741107
442, -164.68397907312632
443, -176.77062468829166
444, -170.6042345714326
445, -184.09364805774757
446, -179.92628084778974
447, -180.37246578068482
448, -179.92624344728668
449, -176.5722303350558
450, -178.58025796439017
451, -182.73223622956942
452, -181.29318172654308
453, -159.0304313697332
454, -221.66411603045398
455, -200.15237743218117
456, -191.294013050139
457, -160.729556294829
458, -183.94044935845855
459, -168.72752747239522
460, -211.15383416383668
461, -192.5674078982359
462, -185.71044232411305
463, -177.44412939486256
464, -169.1131036081941
465, -165.90328224199516
466, -190.0468671828856
467, -179.626593580832
468, -186.32620601946346
469, -171.49503482588068
470, -188.74179737736466
471, -178.64569060530843
472, -160.8063107189816
473, -181.23436989875552
474, -195.30486259321208
475, -185.55798219523953
476, -180.88633710283966
