Site,BL,low,high
25.0,3.6235839999999997,2.3443939999999994,3.207191239999999
75.0,3.625949,2.235636,3.1997333599999984
125.0,3.6255680000000003,2.2352550000000004,3.1979104799999982
175.0,3.624547,2.2342340000000003,3.185693159999999
225.0,3.623748,2.233435,3.153945199999998
275.0,3.617053,2.217751,3.137638799999999
325.0,3.6112249999999997,2.2119229999999996,3.1254761599999994
375.0,3.610788,2.211486,3.1258694000000005
425.0,3.608622,2.20932,3.1216433999999986
475.0,3.6099970000000003,2.2106950000000003,3.1269328799999996
525.0,3.610788,2.211486,3.1215815200000008
575.0,3.6103400000000003,2.2110380000000003,3.1235512799999996
625.0,3.6103400000000003,2.2110380000000003,3.1283735600000004
675.0,3.608622,2.20932,3.1239643600000018
725.0,3.609587,2.210285,3.1206079200000008
775.0,3.6089510000000002,2.209649,3.1112214400000004
825.0,3.609587,2.210285,3.091581199999997
875.0,3.611281,2.211979,3.089433920000001
925.0,3.6124240000000003,2.2131220000000003,3.085018759999999
975.0,3.616344,2.2170419999999997,3.086038639999999
1025.0,3.6235839999999997,2.2242819999999996,3.094527159999998
1075.0,3.624547,2.225245,3.109635119999998
1125.0,3.6292619999999998,2.170019,3.11074392
1175.0,3.6327400000000005,2.1734970000000007,3.1071374399999985
1225.0,3.637242,2.1779990000000002,3.1065552000000003
1275.0,3.6477350000000004,2.1884920000000005,3.121199039999999
1325.0,3.6581449999999998,2.198902,3.136681279999999
1375.0,3.6703180000000004,2.2110750000000006,3.141188759999999
1425.0,3.674264,2.196379,3.16230748
1475.0,3.684991,2.1010180000000003,3.172423959999999
1525.0,3.697188,2.1132150000000003,3.192326880000001
1575.0,3.701455,2.1174820000000003,3.1998861599999975
1625.0,3.702042,2.118069,3.1889519200000005
1675.0,3.7062219999999995,2.1222489999999996,3.1819463200000007
1725.0,3.710329,2.1263560000000004,3.1696367199999993
1775.0,3.712206,2.1282330000000003,3.170003799999999
1825.0,3.715768,2.1317950000000003,3.174451759999999
1875.0,3.717701,2.133728,3.18585104
1925.0,3.722565,2.138592,3.1788837199999995
1975.0,3.7292540000000005,2.1452810000000007,3.153506279999999
2025.0,3.7292540000000005,2.1452810000000007,3.1550345599999976
2075.0,3.7233419999999997,2.139369,3.1377995600000004
2125.0,3.718836,2.134863,3.1182983999999982
2175.0,3.7130030000000005,2.1290300000000006,3.1223875199999984
2225.0,3.701455,2.1174820000000003,3.101511800000001
