iter, nrecombs
0, 7
1, 3
2, 0
3, 2
4, 1
5, 3
6, 2
7, 1
8, 1
9, 4
10, 3
11, 4
12, 2
13, 3
14, 3
15, 3
16, 2
17, 2
18, 4
19, 4
20, 3
21, 4
22, 5
23, 3
24, 3
25, 7
26, 5
27, 6
28, 5
29, 5
30, 3
31, 1
32, 6
33, 7
34, 2
35, 1
36, 5
37, 6
38, 2
39, 2
40, 4
41, 3
42, 4
43, 3
44, 3
45, 3
46, 3
47, 5
48, 6
49, 2
50, 5
51, 4
52, 5
53, 5
54, 1
55, 6
56, 5
57, 3
58, 9
59, 5
60, 2
61, 2
62, 4
63, 11
64, 6
65, 2
66, 6
67, 13
68, 3
69, 10
70, 3
71, 4
72, 3
73, 10
74, 4
75, 4
76, 3
77, 2
78, 7
79, 6
80, 4
81, 4
82, 3
83, 3
84, 3
85, 8
86, 9
87, 10
88, 4
89, 3
90, 4
91, 4
92, 9
93, 5
94, 4
95, 9
96, 4
97, 5
98, 1
99, 9
100, 3
101, 5
102, 10
103, 6
104, 2
105, 6
106, 4
107, 3
108, 4
109, 7
110, 5
111, 6
112, 4
113, 0
114, 4
115, 5
116, 6
117, 6
118, 11
119, 4
120, 2
121, 7
122, 8
123, 11
124, 6
125, 6
126, 4
127, 6
128, 9
129, 6
130, 6
131, 6
132, 2
133, 6
134, 3
135, 5
136, 2
137, 4
138, 4
139, 3
140, 3
141, 9
142, 6
143, 7
144, 3
145, 3
146, 10
147, 2
148, 5
149, 8
150, 8
151, 4
152, 7
153, 10
154, 8
155, 5
156, 7
157, 10
158, 3
159, 9
160, 3
161, 8
162, 6
163, 5
164, 5
165, 8
166, 4
167, 4
168, 10
169, 8
170, 9
171, 7
172, 7
173, 4
174, 3
175, 7
176, 7
177, 7
178, 9
179, 6
180, 6
181, 3
182, 6
183, 10
184, 5
185, 3
186, 11
187, 8
188, 13
189, 5
190, 8
191, 8
192, 6
193, 5
194, 5
195, 8
196, 14
197, 5
198, 16
199, 7
200, 5
201, 10
202, 8
203, 8
204, 8
205, 7
206, 5
207, 6
208, 6
209, 7
210, 4
211, 7
212, 4
213, 7
214, 9
215, 7
216, 4
217, 7
218, 4
219, 7
220, 4
221, 9
222, 6
223, 11
224, 8
225, 8
226, 7
227, 6
228, 4
229, 5
230, 6
231, 6
232, 3
233, 13
234, 7
235, 12
236, 9
237, 8
238, 7
239, 11
240, 4
241, 5
242, 8
243, 2
244, 6
245, 4
246, 6
247, 6
248, 12
249, 7
250, 9
251, 2
252, 6
253, 14
254, 10
255, 7
256, 8
257, 6
258, 3
259, 8
260, 3
261, 6
262, 3
263, 13
264, 6
265, 11
266, 10
267, 9
268, 8
269, 7
270, 5
271, 5
272, 7
273, 10
274, 3
275, 7
276, 5
277, 6
278, 2
279, 5
280, 7
281, 5
282, 4
283, 8
284, 5
285, 5
286, 7
287, 7
288, 7
289, 7
290, 10
291, 8
292, 4
293, 3
294, 8
295, 8
296, 12
297, 13
298, 2
299, 8
300, 10
301, 5
302, 9
303, 6
304, 6
305, 9
306, 6
307, 3
308, 5
309, 5
310, 7
311, 8
312, 11
313, 9
314, 8
315, 4
316, 4
317, 6
318, 4
319, 3
320, 6
321, 8
322, 6
323, 8
324, 8
325, 6
326, 9
327, 11
328, 9
329, 3
330, 5
331, 6
332, 5
333, 5
334, 5
335, 8
336, 2
337, 6
338, 5
339, 6
340, 8
341, 9
342, 4
343, 5
344, 4
345, 13
346, 5
347, 5
348, 5
349, 5
350, 7
351, 4
352, 6
353, 6
354, 3
355, 10
356, 7
357, 6
358, 9
359, 6
360, 5
361, 4
362, 2
363, 6
364, 8
365, 7
366, 4
367, 12
368, 5
369, 4
370, 5
371, 7
372, 5
373, 8
374, 4
375, 6
376, 4
377, 8
378, 7
379, 6
380, 7
381, 6
382, 3
383, 4
384, 7
385, 5
386, 4
387, 9
388, 2
389, 4
390, 6
391, 8
392, 6
393, 5
394, 9
395, 8
396, 6
397, 6
398, 7
399, 7
400, 12
401, 9
402, 6
403, 6
404, 4
405, 3
406, 5
407, 4
408, 6
409, 4
410, 4
411, 7
412, 4
413, 7
414, 10
415, 11
416, 4
417, 8
418, 6
419, 8
420, 7
421, 10
422, 7
423, 4
424, 14
425, 6
426, 5
427, 6
428, 9
429, 8
430, 11
431, 2
432, 9
433, 1
434, 5
435, 2
436, 4
437, 5
438, 4
439, 6
440, 4
441, 3
442, 7
443, 7
444, 2
445, 10
446, 4
447, 5
448, 8
449, 6
450, 4
451, 7
452, 2
453, 10
454, 4
455, 4
456, 9
457, 7
458, 5
459, 8
460, 3
461, 5
462, 3
463, 7
464, 8
465, 8
466, 6
467, 10
468, 10
469, 8
470, 4
471, 5
472, 3
473, 12
474, 11
475, 2
476, 5
