iter, logposterior
2, -345.03584915748144
3, -341.6937841535589
4, -246.36308645448406
5, -336.159195472565
6, -334.3189553477214
7, -298.9716556409472
8, -230.03287612308955
9, -277.21284709820964
10, -230.03287612308955
11, -257.5111676597076
12, -210.29702096779093
13, -262.79911082568475
14, -208.25840590752878
15, -249.33618539011195
16, -264.92820595587943
17, -316.22547028454534
18, -306.6632500098696
19, -263.9850922504647
20, -279.6305365359107
21, -271.93956733913615
22, -276.92206539167506
23, -308.7708087876167
24, -291.50292069719706
25, -253.7276374713699
26, -268.41169176292954
27, -295.3031599623894
28, -274.85677070977124
29, -289.665965455869
30, -275.45408761675816
31, -220.77589505878822
32, -285.2445387823948
33, -302.4273134118494
34, -290.21199657646457
35, -265.692402745414
36, -256.2716093985513
37, -254.36096048927828
38, -280.60189899304476
39, -324.5633784362033
40, -285.78574983797165
41, -266.3986107246622
42, -294.2166249687314
43, -267.22931013494247
44, -300.09269381551843
45, -255.16682724630223
46, -246.23612979692646
47, -263.19476894229564
48, -269.4547773227928
49, -229.09874604656892
50, -237.85739091357684
51, -302.31440744916165
52, -267.0304992753265
53, -234.86392826689828
54, -264.5806365086528
55, -278.57181174122894
56, -263.068766703548
57, -216.1812797157081
58, -268.04372100622646
59, -276.98624548254645
60, -302.07908973026747
61, -270.01273244109365
62, -262.4406694131643
63, -267.6671961647438
64, -236.7253675666076
65, -257.73158903448126
66, -267.9210726644956
67, -262.2827858326161
68, -260.1082429808962
69, -241.03137123870678
70, -223.00190987688524
71, -246.84712611196528
72, -229.99902264336492
73, -244.07549716374254
74, -234.77034821184247
75, -277.3037465439645
76, -263.47627936338245
77, -318.3898581225384
78, -224.55299039875123
79, -279.1832239768654
80, -232.29421953622705
81, -246.38656690876024
82, -273.5126796261088
83, -259.59088991613953
84, -234.48225060737445
85, -272.16834663269515
86, -292.88489058240486
87, -268.7410875408376
88, -271.3108871697083
89, -270.8966578188914
90, -282.1354733362964
91, -266.2605804067195
92, -210.2354876009091
93, -255.10433201894116
94, -257.4125469520014
95, -262.98734149857324
96, -212.66870114226575
97, -225.07893728347543
98, -244.3115890620351
99, -262.61561621833516
100, -249.53691179619693
101, -225.0543588225914
102, -292.93311351058526
103, -213.0560468939514
104, -271.0821292473013
105, -260.5804641498238
106, -290.81347234958827
107, -255.10648663412547
108, -264.5978973296182
109, -239.634278879102
110, -238.06834693284753
111, -246.249761684446
112, -292.94911819782106
113, -221.99106846975891
114, -233.0885093112843
115, -240.81374737189168
116, -240.3070718626445
117, -227.13100107229943
118, -273.4647563247614
119, -244.25706399061698
120, -252.67766057188507
121, -251.8873851886126
122, -264.7766840672128
123, -360.7437271054281
124, -217.95560527375454
125, -316.4373131486757
126, -280.6359207671844
127, -225.92556452877787
128, -243.1359305388787
129, -244.17410872934025
130, -266.8311819678507
131, -241.04273373018418
132, -216.37423233429487
133, -226.31598023399002
134, -239.71985773800517
135, -241.1646301347599
136, -263.93262911489626
137, -256.1329192674855
138, -273.5879602249793
139, -225.1107718976637
140, -249.71227149209471
141, -241.91454049353752
142, -252.57705658920074
143, -229.3723903344937
144, -237.6036292108275
145, -258.44488588826545
146, -192.09764826065654
147, -275.7786674959918
148, -254.5359587327264
149, -231.29575641051224
150, -230.74249121850164
151, -231.43108260024638
152, -193.1644858542281
153, -225.09176972872214
154, -212.87797186665014
155, -224.91379638536426
156, -283.2997717838035
157, -246.02863136555507
158, -238.61597798247928
159, -228.6461009130905
160, -208.16566328989512
161, -253.45604523120855
162, -241.37890061143656
163, -233.26094658153715
164, -290.6303967859997
165, -308.36646600850577
166, -290.34604098851406
167, -260.9617713369227
168, -232.39039366489075
169, -245.66436308033678
170, -260.22929654442225
171, -301.27224260218
172, -212.72668408393778
173, -244.17305353868014
174, -253.33412940723954
175, -214.50149743004377
176, -260.42250145289853
177, -254.8597200658095
178, -268.48777117154407
179, -254.11653552600237
180, -230.65840705509314
181, -240.34701371263208
182, -237.5869601944497
183, -233.50206029495448
184, -248.5362410610735
185, -239.99803469007392
186, -231.54402683482607
187, -321.59217285847615
188, -244.56219299554678
189, -236.14403496380098
190, -223.69753030744667
191, -232.1004807512329
192, -266.2868258649211
193, -276.18605702296196
194, -223.57237124774414
195, -229.17856752169251
196, -243.98404908155678
197, -217.5914245895968
198, -232.82720511834216
199, -241.4009437475534
200, -216.2355277473437
201, -236.03903403372794
202, -236.0811678874769
203, -219.5388931771873
204, -204.6602028207092
205, -255.10403715401858
206, -252.92020806626041
207, -219.95868195378554
208, -241.1458734149292
209, -259.25552073375394
210, -208.11225890320617
211, -251.57828470538422
212, -243.34420181911557
213, -261.2741528638611
214, -263.0952108068894
215, -241.33232740976246
216, -242.5867999964947
217, -252.93860461219833
218, -250.07992645304404
219, -274.41074959895116
220, -201.06793520509964
221, -234.1870035123828
222, -250.87397428009356
223, -251.6809527628561
224, -229.6166774947754
225, -226.67031404582048
226, -191.75417092249464
227, -285.2457627999409
228, -192.77549754045813
229, -234.60025807069934
230, -242.4150858442061
231, -219.5195690053874
232, -202.38532645694718
233, -290.54071505242405
234, -228.65626725715103
235, -318.96657673724127
236, -226.35038685369506
237, -329.7186982663437
238, -249.3725214074553
239, -219.16313241518895
240, -203.66160320787418
241, -261.5254088477602
242, -231.59805909546995
243, -218.11324241583083
244, -237.8375867029181
245, -249.51480759393203
246, -216.9984924313394
247, -229.9593533101361
248, -206.59273211104747
249, -238.25716750749797
250, -219.85578923480273
251, -225.16770802391568
252, -230.36670954221466
253, -214.94453965190434
254, -201.35956435538782
255, -205.5488333780483
256, -248.46430196563603
257, -310.78329449589984
258, -266.7221065954101
259, -226.58504901601785
260, -207.17118807386532
261, -252.31023634404724
262, -239.37991989054566
263, -210.7358328660126
264, -242.582655455634
265, -278.0666170440114
266, -242.58225040239134
267, -298.7519190933629
268, -264.87436741439694
269, -287.2773217816643
270, -264.74604260170986
271, -252.51660417301844
272, -287.1532588037972
273, -222.899255457342
274, -252.711949686759
275, -205.29605959900297
276, -243.40775118228194
277, -314.6290738604121
278, -231.22433829025053
279, -233.6371743429263
280, -256.1803914209709
281, -292.21725319964764
282, -241.82939841300322
283, -231.71493149413004
284, -220.24798687561727
285, -214.4152936273807
286, -233.91169262168293
287, -240.23572612708173
288, -211.52647564350286
289, -237.56178772086517
290, -212.9726871712503
291, -255.9061811591676
292, -243.46426183610774
293, -234.1352665881448
294, -215.97986731528042
295, -282.7637185290714
296, -247.96832411466116
297, -276.1765231976887
298, -248.2198812726325
299, -271.98776228045665
300, -269.16002157030914
301, -242.8813432204737
302, -236.70629772903476
303, -225.83859362841233
304, -249.09625041368616
305, -251.46947759923708
306, -231.23527533228474
307, -236.75774008200995
308, -223.38326197774933
309, -251.19256280930952
310, -228.78721277838793
311, -243.17288714964872
312, -223.8094515577494
313, -269.41821227275926
314, -236.94316048543698
315, -229.22361398169753
316, -231.05366232471786
317, -225.97038535400776
318, -239.5653731718474
319, -287.18748055374186
320, -211.62858717352725
321, -223.78557792583055
322, -217.28222321860594
323, -220.0329688505525
324, -240.10070442198642
325, -234.9118282271864
326, -217.3629273298913
327, -244.20747486107388
328, -240.52180136570834
329, -278.4122773872339
330, -211.62297004031367
331, -278.41258918149236
332, -258.8655340347043
333, -243.6247181263502
334, -234.55374157281668
335, -247.60599129133163
336, -216.00346340370243
337, -230.65099677984236
338, -221.42689473815207
339, -219.03862007254787
340, -200.826672278996
341, -249.76095641370935
342, -214.8743005933914
