Site,BL,low,high
25.0,4.143731173240157,2.6635335135026956,3.137878542317644
75.0,4.143731173240157,2.6635335135026956,3.138210613456664
125.0,4.14264820241999,2.662450542682529,3.128102732178837
175.0,4.14110388969101,2.6609062299535484,3.115202117182104
225.0,4.140228869654438,2.6600312099169763,3.1134480457678677
275.0,4.1385184809039295,2.658320821166468,3.1050377286004407
325.0,4.137720441696832,2.6575227819593703,3.0977689443788563
375.0,4.137332436764145,2.657134777026683,3.095516261506101
425.0,4.134617953805474,2.6544202940680126,3.0880019004504415
475.0,4.132442056603523,2.6522443968660614,3.0799309993686013
525.0,4.131166933745787,2.6509692740083253,3.085033088655349
575.0,4.131513948444345,2.6513162887068837,3.085302088062699
625.0,4.1322775139281225,2.652079854190661,3.0857129068649867
675.0,4.131513948444345,2.6513162887068837,3.0890972111894044
725.0,4.13102420975222,2.6508265500147585,3.0880211233365573
775.0,4.131021479490308,2.650823819752847,3.0865873121651495
825.0,4.13102420975222,2.6508265500147585,3.085863629677598
875.0,4.13102420975222,2.6508265500147585,3.0828452010090226
925.0,4.131513948444345,2.6513162887068837,3.0828088678416945
975.0,4.134126535285454,2.653928875547993,3.074226527219108
1025.0,4.134175930541815,2.6539782708043536,3.071637067788954
1075.0,4.134212219844569,2.6540145601071075,3.0671396300663787
1125.0,4.134930296676653,2.6547326369391913,3.062771836484237
1175.0,4.136223297183995,2.6560256374465334,3.056964205401057
1225.0,4.137016310671003,2.656818650933541,3.050631808711863
1275.0,4.1385184809039295,2.658320821166468,3.0507279281027593
1325.0,4.1388514977167326,2.658653837979271,3.048432780139083
1375.0,4.1388514977167326,2.658653837979271,3.0473197067410025
1425.0,4.1388514977167326,2.658653837979271,3.0503483572767705
1475.0,4.1398776183889705,2.659679958651509,3.049183658154627
1525.0,4.139187064509986,2.658989404772525,3.0467546674111894
1575.0,4.140287145061011,2.6600894853235495,3.044938275814604
1625.0,4.1416027843104235,2.661405124572962,3.041757009642229
1675.0,4.142573717112977,2.662376057375515,3.041339026578304
1725.0,4.144705910726564,2.664508250989102,3.040205973117965
1775.0,4.145230035335452,2.66503237559799,3.036731814584983
1825.0,4.146145741649638,2.665948081912177,3.0283934000917965
1875.0,4.147633057441963,2.6674353977045016,3.0298563849485802
1925.0,4.150209484036518,2.6700118242990563,3.034347107121894
1975.0,4.1512901239670175,2.671092464229556,3.029701551723715
2025.0,4.15087399837701,2.6706763386395487,3.031097745152696
2075.0,4.152320421895045,2.672122762157583,3.0361003950897345
2125.0,4.151333391627476,2.671135731890015,3.035484897065526
2175.0,4.14959449130148,2.6693968315640184,3.029169510349756
2225.0,4.148504309258683,2.668306649521221,3.0287280010277566
2275.0,4.146053177241645,2.665855517504183,3.0325967066093664
2325.0,4.138123576340714,2.6579259166032525,3.0327958744846093
2375.0,4.123222928769985,2.643025269032523,2.9960108822107037
2425.0,4.111382906677568,2.631185246940106,2.987953246292859
2475.0,4.102228543875071,2.62203088413761,2.9927824219227936
2525.0,4.093440968322755,2.613243308585293,2.991825701721451
2575.0,4.086009370511729,2.605811710774267,2.9832737399524376
2625.0,4.0804327398878675,2.600235080150406,2.9665193935513914
