Site,BL,low,high
25.0,5.108970837219999,2.286288186935999,3.5434715755679527
75.0,5.106642794163999,2.283960143879999,3.5460816023817845
125.0,5.106642794163999,2.283960143879999,3.5460816023817845
175.0,5.106642794163999,2.283960143879999,3.5460816023817845
225.0,5.106642794163999,2.283960143879999,3.5460816023817845
275.0,5.106642794163999,2.283960143879999,3.5460816023817845
325.0,5.106642794163999,2.283960143879999,3.5460816023817845
375.0,5.106642794163999,2.283960143879999,3.5460816023817845
425.0,5.106642794163999,2.283960143879999,3.5460816023817845
475.0,5.106642794163999,2.283960143879999,3.5460816023817845
525.0,5.106642794163999,2.283960143879999,3.5460816023817845
575.0,5.106642794163999,2.283960143879999,3.5460816023817845
625.0,5.106642794163999,2.283960143879999,3.5460816023817845
675.0,5.106642794163999,2.283960143879999,3.5460816023817845
725.0,5.106642794163999,2.283960143879999,3.5460816023817845
775.0,5.106642794163999,2.283960143879999,3.5460816023817845
825.0,5.106642794163999,2.283960143879999,3.5460816023817845
875.0,5.106642794163999,2.283960143879999,3.5460816023817845
925.0,4.96484218883211,2.37556957334411,3.5194427230193295
975.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1025.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1075.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1125.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1175.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1225.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1275.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1325.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1375.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1425.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1475.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1525.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1575.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1625.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1675.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1725.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1775.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1825.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1875.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1925.0,4.877014847917501,2.2877422324295007,3.4752195852952177
1975.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2025.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2075.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2125.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2175.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2225.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2275.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2325.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2375.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2425.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2475.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2525.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2575.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2625.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2675.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2725.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2775.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2825.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2875.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2925.0,4.877014847917501,2.2877422324295007,3.4752195852952177
2975.0,4.877014847917501,2.2877422324295007,3.4752195852952177
3025.0,4.877014847917501,2.2877422324295007,3.4752195852952177
3075.0,4.877014847917501,2.2877422324295007,3.4752195852952177
3125.0,4.877014847917501,2.2877422324295007,3.4752195852952177
3175.0,4.877014847917501,2.2877422324295007,3.4752195852952177
3225.0,4.877014847917501,2.2877422324295007,3.4752195852952177
3275.0,4.877014847917501,2.2877422324295007,3.4752195852952177
3325.0,4.877014847917501,2.2877422324295007,3.4752195852952177
3375.0,4.877014847917501,2.2877422324295007,3.4752195852952177
3425.0,4.877014847917501,2.2877422324295007,3.4752195852952177
3475.0,4.877014847917501,2.2877422324295007,3.4752195852952177
3525.0,4.877014847917501,2.2877422324295007,3.4752195852952177
3575.0,4.877014847917501,2.2877422324295007,3.4752195852952177
3625.0,4.877014847917501,2.2877422324295007,3.4752195852952177
