iter, logposterior
2, -349.84480655069984
3, -274.2457233541296
4, -290.504708957852
5, -375.11208108096884
6, -353.210189435134
7, -256.9158672387937
8, -258.17779568273363
9, -350.73723328198287
10, -313.47806424734364
11, -230.47797011178733
12, -275.2081911048973
13, -297.2808892783849
14, -259.0141628748707
15, -232.04117851603837
16, -272.6728823116412
17, -296.7694098065602
18, -262.5835637260522
19, -259.73325894977387
20, -248.7023233288402
21, -241.58871333582567
22, -259.9396972636873
23, -268.2418127373556
24, -320.45644870227414
25, -278.3895212106827
26, -283.1447558985042
27, -309.08302509316854
28, -241.25735196226347
29, -234.66867040979636
30, -252.34562257093535
31, -251.27287371995024
32, -267.4355960008883
33, -364.9185877230573
34, -303.75032467635305
35, -270.7140337795219
36, -287.60459108286994
37, -255.47714667087516
38, -299.98393209543786
39, -262.34135668845363
40, -249.14659494288733
41, -231.9525921446683
42, -299.8252130329389
43, -243.27421460047285
44, -259.5062951785136
45, -237.84268206010736
46, -248.7975710996662
47, -255.43010950084417
48, -238.56489416469023
49, -280.671211608713
50, -228.36283510240548
51, -271.9964449331296
52, -294.88163514226966
53, -238.5225514400547
54, -226.50758922712654
55, -300.05406191278286
56, -262.24333854721385
57, -247.63066243653554
58, -249.9428345003757
59, -244.00182213254683
60, -252.81140713564545
61, -231.98856739570616
62, -218.63289744315824
63, -241.31272061684535
64, -243.1473299418964
65, -303.2397713764302
66, -280.6298266501757
67, -218.61102897750533
68, -265.30259683990266
69, -225.31442029859898
70, -266.97926111464534
71, -225.19349495931385
72, -242.21270695490526
73, -252.95350163614953
74, -230.88702391523117
75, -252.9820982518431
76, -239.89739836197953
77, -240.30492739936784
78, -253.78585550410253
79, -248.06135692381423
80, -232.41754971763845
81, -252.61794738673996
82, -239.40128395804177
83, -260.7940930918651
84, -233.47299439391412
85, -237.77632157018354
86, -227.41432162894523
87, -239.11904567916545
88, -239.34830833151523
89, -231.60569555847954
90, -230.26883319800092
91, -237.00355563703997
92, -225.29503981323316
93, -239.4522084283789
94, -242.58732709350227
95, -230.55390010398946
96, -278.62286860464985
97, -231.96388528512395
98, -220.60559614029057
99, -243.09864475100497
100, -266.56138181143535
101, -224.46952776978748
102, -251.76198409939235
103, -261.50640614577026
104, -231.58181066495263
105, -252.29786602731812
106, -254.13862972307783
107, -251.76870671527587
108, -253.79440212050636
109, -249.60489484795065
110, -221.53068233676555
111, -264.930999382953
112, -234.1579515555331
113, -275.60813547180277
114, -223.70974701287133
115, -265.0212671433549
116, -268.7244092477522
117, -251.21636230591892
118, -242.8137630370318
119, -262.03799017521055
120, -251.54613385649463
121, -223.89689617956773
122, -230.66895181485495
123, -224.9404922270051
124, -245.78262184100464
125, -216.10865601826538
126, -257.5280622316004
127, -236.1037567398295
128, -221.99850801260766
129, -221.0684236723223
130, -240.0007557665217
131, -227.02298427440294
132, -287.6860828947245
133, -226.29881525100595
134, -231.88145701287104
135, -253.87182725783376
136, -260.14641159806735
137, -237.44291788125872
138, -299.11286169327224
139, -233.8036049725793
140, -267.65408101726746
141, -233.912071864969
142, -243.76339876828632
143, -232.51814675836584
144, -272.5029052667491
145, -226.72185851494797
146, -239.74013108120943
147, -221.93407136580973
148, -209.15519352021317
149, -239.85227211044085
150, -227.69254470596562
151, -240.10933870013136
152, -248.3203603458438
153, -261.3497297008555
154, -217.87134826720447
155, -225.57364935835074
156, -266.3523936697332
157, -238.39417479419112
158, -222.6999986577185
159, -273.4828759421405
160, -231.27148619314525
161, -237.68466103501157
162, -255.90025707455877
163, -209.23397160492092
164, -247.54653767189845
165, -225.87053922873247
166, -271.3376459660341
167, -231.84470039726534
168, -225.06909959152256
169, -240.598643257927
170, -269.7475207078903
171, -220.31697018485633
172, -224.5633781142437
173, -220.0151962876484
174, -230.428738117399
175, -227.9091397801385
176, -238.67326614264454
177, -221.23556792576883
178, -249.13676716777158
179, -244.9818457967058
180, -209.23802364182492
181, -233.51269002795598
182, -251.545746060787
183, -231.40325631345888
184, -222.86557057238662
185, -235.0495329136749
186, -248.74236722689605
187, -222.43506657207914
188, -243.30476457443692
189, -221.58173927009443
190, -264.65539260567834
191, -221.94129183271644
192, -226.54280167400077
193, -241.5092418871396
194, -221.17125530011262
195, -232.22220223570537
196, -232.04501353783706
197, -237.29360697620578
198, -231.52383191787249
