Site,BL
1.0,4.9798
480.0,4.9798
481.0,4.8392
1486.0,4.8392
1487.0,3.1208
5834.0,3.1208
5835.0,3.1652
8318.0,3.1652
8319.0,3.2542999999999997
10000.0,3.2542999999999997
