iter, nrecombs
0, 22
1, 22
2, 22
3, 22
4, 22
5, 27
6, 27
7, 27
8, 24
9, 24
10, 25
11, 27
12, 27
13, 27
14, 27
15, 23
16, 23
17, 20
18, 22
19, 29
20, 28
21, 28
22, 28
23, 28
24, 26
25, 22
26, 30
27, 20
28, 22
29, 14
30, 14
31, 14
32, 14
33, 19
34, 20
35, 17
36, 16
37, 15
38, 15
39, 7
40, 19
41, 19
42, 19
43, 19
44, 9
45, 17
46, 17
47, 17
48, 17
49, 17
50, 21
51, 22
52, 12
53, 14
54, 14
55, 14
56, 14
57, 14
58, 19
59, 24
60, 20
61, 23
62, 23
63, 23
64, 23
65, 23
66, 22
67, 19
68, 19
69, 19
70, 19
71, 19
72, 20
73, 20
74, 13
75, 26
76, 27
77, 27
78, 26
79, 16
80, 17
81, 17
82, 16
83, 16
84, 17
85, 15
86, 18
87, 23
88, 23
89, 21
90, 21
91, 21
92, 15
93, 17
94, 18
95, 20
96, 21
97, 18
98, 18
99, 19
100, 19
101, 21
102, 25
103, 23
104, 23
105, 19
106, 19
107, 19
108, 17
109, 17
110, 17
111, 15
112, 20
113, 20
114, 21
115, 20
116, 20
117, 24
118, 24
119, 17
120, 16
121, 16
122, 18
123, 19
124, 19
125, 17
126, 18
127, 17
128, 18
129, 19
130, 19
131, 22
132, 26
133, 23
134, 22
135, 20
136, 20
137, 20
138, 22
139, 20
140, 18
141, 18
142, 18
143, 23
144, 23
145, 20
146, 22
147, 26
148, 27
149, 28
150, 28
151, 26
152, 22
153, 22
154, 22
155, 22
156, 23
157, 22
158, 26
159, 22
160, 22
161, 22
162, 22
163, 23
164, 16
165, 20
166, 19
167, 19
168, 18
169, 17
170, 15
171, 15
172, 15
173, 19
174, 25
175, 19
176, 25
177, 19
178, 19
179, 18
180, 17
181, 15
182, 17
183, 18
184, 19
185, 18
186, 17
187, 18
188, 24
189, 25
190, 24
191, 24
192, 24
193, 31
194, 24
195, 24
196, 23
197, 14
198, 15
199, 12
200, 12
201, 11
202, 12
203, 12
204, 21
205, 19
206, 17
207, 16
208, 23
209, 23
210, 23
211, 23
212, 16
213, 16
214, 16
215, 16
216, 16
217, 12
218, 21
219, 21
220, 21
221, 18
222, 18
223, 12
224, 11
225, 18
226, 21
227, 21
228, 20
229, 19
230, 19
231, 21
232, 21
233, 21
234, 21
235, 19
236, 17
237, 16
238, 16
239, 15
240, 15
241, 15
242, 9
243, 10
244, 13
245, 19
246, 19
247, 19
248, 19
249, 19
250, 16
251, 13
252, 18
253, 19
254, 19
255, 18
256, 18
257, 23
258, 23
259, 23
260, 24
261, 25
262, 14
263, 16
264, 23
265, 24
266, 15
267, 21
268, 30
269, 24
270, 21
271, 21
272, 19
273, 19
274, 19
275, 19
276, 19
277, 24
278, 17
279, 17
280, 25
281, 20
282, 20
283, 23
284, 16
285, 21
286, 18
287, 18
288, 18
289, 18
290, 22
291, 23
292, 23
293, 19
294, 19
295, 17
296, 17
297, 17
298, 17
299, 17
300, 17
301, 19
302, 20
303, 21
304, 14
305, 19
306, 25
307, 17
308, 20
309, 20
310, 16
311, 16
312, 20
313, 20
314, 20
315, 20
316, 19
317, 22
318, 22
319, 20
320, 20
321, 17
322, 17
323, 21
324, 22
325, 22
326, 22
327, 20
328, 20
329, 21
330, 22
331, 18
332, 18
333, 17
334, 20
335, 19
336, 19
337, 16
338, 15
339, 15
340, 15
341, 14
342, 20
343, 19
344, 18
345, 18
346, 19
347, 21
348, 27
349, 21
350, 22
351, 22
352, 24
353, 23
354, 23
355, 30
356, 25
357, 25
358, 24
359, 20
360, 20
361, 21
362, 25
363, 25
364, 19
365, 21
366, 22
367, 23
368, 28
369, 28
370, 27
371, 27
372, 22
373, 16
