iter, nrecombs
0, 12
1, 14
2, 13
3, 7
4, 11
5, 10
6, 10
7, 6
8, 10
9, 11
10, 12
11, 8
12, 11
13, 14
14, 10
15, 7
16, 9
17, 10
18, 13
19, 14
20, 9
21, 14
22, 12
23, 9
24, 6
25, 10
26, 7
27, 20
28, 18
29, 20
30, 19
31, 13
32, 13
33, 8
34, 11
35, 8
36, 28
37, 13
38, 17
39, 22
40, 11
41, 18
42, 12
43, 21
44, 18
45, 19
46, 7
47, 21
48, 19
49, 11
50, 19
51, 17
52, 22
53, 12
54, 19
55, 14
56, 15
57, 15
58, 12
59, 12
60, 21
61, 14
62, 20
63, 24
64, 21
65, 11
66, 22
67, 10
68, 14
69, 15
70, 12
71, 19
72, 12
73, 12
74, 19
75, 16
76, 12
77, 12
78, 11
79, 15
80, 18
81, 19
82, 11
83, 11
84, 11
85, 17
86, 11
87, 11
88, 19
89, 16
90, 11
91, 22
92, 12
93, 14
94, 9
95, 21
96, 12
97, 12
98, 17
99, 13
100, 24
101, 13
102, 16
103, 14
104, 15
105, 14
106, 11
107, 12
108, 22
109, 17
110, 18
111, 21
112, 12
113, 14
114, 13
115, 15
116, 26
117, 12
118, 18
119, 21
120, 11
121, 12
122, 20
123, 18
124, 24
125, 17
126, 16
127, 14
128, 15
129, 21
130, 19
131, 12
132, 10
133, 22
134, 17
135, 14
136, 9
137, 17
138, 20
139, 24
140, 11
141, 17
142, 7
143, 26
144, 12
145, 16
146, 26
147, 19
148, 19
149, 16
150, 20
151, 18
152, 17
153, 19
154, 22
155, 18
156, 20
157, 14
158, 11
159, 17
160, 11
161, 19
162, 25
163, 15
164, 8
165, 20
166, 18
167, 25
168, 26
169, 21
170, 9
171, 26
172, 20
173, 15
174, 20
175, 22
176, 8
177, 20
178, 8
179, 22
180, 20
181, 17
182, 8
183, 26
184, 20
185, 18
186, 16
187, 30
188, 19
189, 16
190, 23
191, 12
192, 20
193, 18
194, 17
195, 24
196, 18
197, 23
198, 20
199, 22
200, 24
201, 13
202, 25
203, 25
204, 30
205, 16
206, 22
207, 18
208, 12
209, 18
210, 19
211, 18
212, 20
213, 29
214, 21
215, 26
216, 18
217, 17
218, 26
219, 17
220, 16
221, 23
222, 20
223, 23
224, 28
225, 23
226, 12
227, 22
228, 17
229, 16
230, 16
231, 17
232, 16
233, 28
234, 16
235, 17
236, 28
237, 17
238, 12
239, 20
240, 12
241, 16
242, 38
243, 28
244, 15
245, 21
246, 29
247, 13
248, 18
249, 17
250, 17
251, 18
252, 25
253, 22
254, 24
255, 16
256, 15
257, 17
258, 25
259, 16
260, 15
261, 25
262, 13
263, 15
264, 25
265, 18
266, 12
267, 14
268, 15
269, 24
270, 16
271, 17
272, 15
273, 14
274, 16
275, 22
276, 21
277, 24
278, 17
279, 15
280, 26
281, 27
282, 25
283, 25
284, 13
285, 23
286, 19
287, 19
288, 23
289, 17
290, 15
291, 20
292, 12
293, 21
294, 15
295, 17
296, 16
297, 17
298, 21
299, 14
300, 13
301, 21
302, 25
303, 20
304, 28
305, 22
306, 12
307, 22
308, 13
309, 19
310, 12
311, 19
312, 14
313, 19
314, 22
315, 12
316, 23
317, 17
318, 17
319, 18
320, 12
321, 22
322, 26
323, 20
324, 11
325, 17
326, 21
327, 17
328, 33
329, 19
330, 21
331, 29
332, 13
333, 28
334, 33
335, 17
336, 21
337, 27
338, 15
339, 17
340, 22
341, 14
342, 20
343, 22
344, 20
345, 16
346, 12
347, 26
348, 12
349, 20
350, 13
351, 19
352, 22
353, 17
354, 22
355, 18
356, 11
357, 28
358, 14
359, 16
360, 31
361, 19
362, 23
363, 18
364, 22
365, 15
366, 23
367, 20
368, 23
369, 20
370, 22
371, 18
372, 22
373, 20
374, 12
375, 16
376, 21
377, 17
378, 13
379, 21
380, 20
381, 18
382, 25
383, 18
384, 23
385, 20
386, 21
387, 15
388, 20
389, 17
390, 28
391, 17
392, 19
393, 20
394, 29
395, 19
396, 9
397, 16
398, 25
399, 14
400, 30
401, 16
402, 13
403, 17
404, 14
405, 16
406, 14
407, 25
408, 23
409, 17
410, 24
411, 20
412, 14
413, 25
414, 16
415, 29
416, 18
417, 17
418, 18
419, 24
420, 14
421, 19
422, 25
423, 19
424, 25
425, 19
426, 25
427, 18
428, 15
429, 19
430, 27
431, 12
432, 18
433, 23
434, 14
435, 18
436, 22
437, 23
438, 17
439, 20
440, 11
441, 19
442, 19
443, 20
444, 11
445, 18
446, 23
447, 24
448, 15
449, 25
450, 11
451, 22
452, 11
453, 21
454, 24
455, 22
456, 24
457, 21
458, 19
459, 20
460, 20
461, 20
462, 14
463, 20
464, 20
465, 13
466, 23
467, 20
468, 23
469, 21
470, 22
471, 20
472, 22
473, 18
474, 29
475, 27
476, 12
477, 21
478, 27
479, 23
480, 22
481, 25
482, 28
483, 19
484, 17
485, 21
486, 28
487, 19
488, 17
489, 19
490, 12
491, 18
492, 30
493, 19
494, 22
495, 18
496, 26
