iter, nrecombs
0, 8
1, 4
2, 3
3, 3
4, 7
5, 9
6, 7
7, 6
8, 5
9, 6
10, 5
11, 4
12, 5
13, 8
14, 5
15, 5
16, 3
17, 7
18, 4
19, 3
20, 4
21, 4
22, 10
23, 12
24, 4
25, 10
26, 9
27, 5
28, 6
29, 7
30, 10
31, 7
32, 10
33, 6
34, 13
35, 9
36, 6
37, 11
38, 4
39, 5
40, 6
41, 4
42, 2
43, 14
44, 5
45, 11
46, 6
47, 17
48, 10
49, 4
50, 4
51, 4
52, 7
53, 6
54, 5
55, 6
56, 10
57, 11
58, 6
59, 11
60, 10
61, 10
62, 5
63, 9
64, 8
65, 9
66, 6
67, 12
68, 6
69, 13
70, 12
71, 9
72, 5
73, 8
74, 12
75, 7
76, 4
77, 13
78, 4
79, 7
80, 9
81, 14
82, 9
83, 11
84, 7
85, 13
86, 6
87, 10
88, 5
89, 6
90, 8
91, 14
92, 8
93, 15
94, 7
95, 14
96, 7
97, 10
98, 12
99, 12
100, 7
101, 7
102, 12
103, 8
104, 9
105, 8
106, 6
107, 8
108, 13
109, 6
110, 5
111, 12
112, 16
113, 13
114, 8
115, 16
116, 14
117, 13
118, 10
119, 6
120, 6
121, 5
122, 12
123, 6
124, 12
125, 12
126, 7
127, 13
128, 9
129, 12
130, 14
131, 8
132, 7
133, 13
134, 5
135, 9
136, 11
137, 16
138, 11
139, 16
140, 11
141, 12
142, 11
143, 14
144, 11
145, 16
146, 7
147, 16
148, 6
149, 16
150, 8
151, 13
152, 7
153, 12
154, 13
155, 12
156, 10
157, 13
158, 11
159, 11
160, 12
161, 8
162, 5
163, 14
164, 6
165, 8
166, 7
167, 10
168, 13
169, 14
170, 11
171, 14
172, 11
173, 11
174, 12
175, 10
176, 9
177, 11
178, 13
179, 12
180, 10
181, 11
182, 8
183, 10
184, 6
185, 14
186, 8
187, 10
188, 11
189, 15
190, 10
191, 10
192, 12
193, 10
194, 10
195, 12
196, 10
197, 12
198, 10
199, 11
200, 9
201, 13
202, 5
203, 8
204, 6
205, 17
206, 7
207, 13
208, 7
209, 10
210, 8
211, 19
212, 8
213, 8
214, 15
215, 9
216, 7
217, 19
218, 8
219, 18
220, 9
221, 13
222, 14
223, 14
224, 8
225, 19
226, 10
227, 10
228, 15
229, 14
230, 9
231, 11
232, 11
233, 10
234, 8
235, 10
236, 10
237, 15
238, 13
239, 9
240, 7
241, 10
242, 13
243, 10
244, 11
245, 25
246, 14
247, 13
248, 8
249, 14
250, 13
251, 21
252, 11
253, 11
254, 12
255, 12
256, 9
257, 11
258, 17
259, 11
260, 11
261, 13
262, 12
263, 10
264, 12
265, 17
266, 12
267, 8
268, 10
269, 16
270, 11
271, 16
272, 10
273, 8
274, 8
275, 7
276, 11
277, 17
278, 11
279, 16
280, 11
281, 14
282, 13
283, 8
284, 11
285, 21
286, 13
287, 8
288, 11
289, 13
290, 12
291, 8
292, 15
293, 15
294, 11
295, 19
296, 10
297, 20
298, 10
299, 19
300, 16
301, 12
302, 12
303, 10
304, 11
305, 24
306, 13
307, 14
308, 8
309, 10
310, 11
311, 14
312, 16
313, 16
314, 14
315, 20
316, 9
317, 17
318, 8
319, 19
320, 12
321, 11
322, 14
323, 18
324, 17
325, 16
326, 20
327, 11
328, 12
329, 18
330, 16
331, 23
332, 16
333, 16
334, 14
335, 15
336, 18
337, 6
338, 17
339, 5
340, 12
341, 5
342, 7
343, 10
344, 11
345, 21
346, 19
347, 10
348, 13
349, 18
350, 16
351, 5
352, 9
353, 11
354, 11
355, 4
356, 8
357, 14
358, 8
359, 18
360, 11
361, 20
362, 15
363, 20
364, 13
365, 22
366, 8
367, 10
368, 14
369, 6
370, 14
371, 7
372, 13
373, 10
374, 9
375, 12
376, 12
377, 20
378, 17
379, 16
380, 5
381, 16
382, 14
383, 8
384, 22
385, 20
386, 19
387, 22
388, 22
389, 19
390, 8
391, 16
392, 17
393, 10
394, 13
395, 7
396, 15
397, 9
398, 15
399, 17
400, 8
401, 15
402, 6
403, 20
404, 8
405, 15
406, 17
407, 14
408, 8
409, 10
410, 15
411, 9
412, 13
413, 16
414, 8
415, 18
416, 17
417, 18
418, 18
419, 11
420, 16
421, 15
422, 10
423, 12
424, 13
425, 15
426, 15
427, 15
428, 9
429, 13
430, 11
431, 17
432, 12
433, 11
434, 12
435, 11
436, 7
437, 13
438, 15
439, 17
440, 11
441, 17
442, 17
443, 17
444, 15
445, 24
446, 11
447, 9
448, 9
449, 21
450, 16
451, 19
452, 9
453, 22
454, 15
455, 10
456, 15
457, 17
458, 9
459, 12
460, 17
461, 9
462, 9
463, 7
464, 15
465, 8
466, 15
467, 19
468, 17
469, 8
470, 16
471, 8
472, 16
473, 13
474, 23
475, 17
476, 11
477, 9
478, 12
479, 16
480, 21
481, 16
482, 16
483, 17
484, 15
485, 12
486, 16
487, 10
488, 15
489, 15
490, 16
491, 14
492, 14
493, 10
494, 11
495, 7
496, 15
497, 22
498, 10
499, 18
500, 13
501, 12
502, 18
503, 10
504, 14
505, 11
506, 14
507, 17
508, 15
509, 17
510, 12
511, 18
512, 14
513, 12
514, 10
515, 16
516, 16
517, 12
518, 9
519, 8
520, 19
521, 18
522, 10
523, 7
524, 16
525, 17
526, 10
527, 14
