Site,BL,low,high
9425.0,6.0,5.92,3.92
9475.0,6.0,5.92,3.92
9525.0,6.0,5.92,3.92
9575.0,6.0,5.92,3.92
9625.0,6.0,5.92,3.92
9675.0,6.0,5.92,3.92
9725.0,6.0,5.92,3.92
9775.0,6.0,5.92,3.92
9825.0,6.0,5.92,3.92
9875.0,6.0,5.92,3.92
9925.0,6.0,5.92,3.92
9975.0,6.0,5.92,3.92
