iter, logposterior
2, -509.3265570892757
3, -559.8111822973985
4, -452.05467749706185
5, -480.0053299133356
6, -435.54731108461476
7, -415.24347148171813
8, -452.76978501838073
9, -387.90513100637736
10, -453.56419804799873
11, -410.9763866146748
12, -451.3995373862029
13, -408.16181044292114
14, -446.8591605175815
15, -330.25813655912435
16, -410.4258499380734
17, -340.5567470601396
18, -432.51398515345056
19, -366.9107146191928
20, -363.48692402771337
21, -353.488454961615
22, -391.2556168716283
23, -394.9360827666272
24, -356.97394682167754
25, -400.71192839715496
26, -442.7312278543554
27, -370.93998070158244
28, -431.5388328597125
29, -426.9139557077801
30, -447.5938891622116
31, -450.77630707169817
32, -390.80670387665964
33, -387.87887483886675
34, -463.826489266767
35, -426.2367632364058
36, -337.5529512665088
37, -434.94730426692695
38, -398.7512645329248
39, -369.0345785825145
40, -354.53313432474584
41, -352.3189397033336
42, -386.6818327178729
43, -393.0566307218537
44, -405.7562025857824
45, -422.68844215091815
46, -396.5488621195685
47, -530.8553097762915
48, -433.50014097950816
49, -345.75444265828264
50, -370.6301534499501
51, -346.4925872423708
52, -410.5997940370368
53, -422.5844291402849
54, -360.3240731800799
55, -345.5221452980302
56, -417.0988504055156
57, -405.4420659456305
58, -337.77403707507614
59, -408.1176790045315
60, -424.96512204792924
61, -373.8249891851298
62, -338.7084729742613
63, -412.25130343096964
64, -379.84421485095555
65, -359.47894544278506
66, -345.0000896045515
67, -371.63411266631664
68, -333.9193651545672
69, -383.9326862458635
70, -403.1355085576181
71, -384.4337741430769
72, -337.2115773679004
73, -371.19259899226785
74, -401.16810885967124
75, -406.0780108855677
76, -323.95703903835084
77, -456.07951679333723
78, -329.2493321572822
79, -356.9283371566752
80, -385.0689030745986
81, -445.2785357495461
82, -382.98347028218893
83, -381.2802200190017
84, -348.88766686515373
85, -431.9211555833906
86, -335.4218532349148
87, -367.2931257437166
88, -352.0565722179293
89, -399.6135321381819
90, -372.1177396555231
91, -526.0278263906457
92, -357.7903080990722
93, -449.622783647409
94, -353.04827772973533
95, -402.3415069072769
96, -358.3132717154039
97, -367.36162080224983
98, -405.48971665808455
99, -428.41521558406794
100, -350.6972000652879
101, -405.85812696421334
102, -414.23344711560895
103, -377.3267153632766
104, -367.6283096500988
105, -363.29114230938626
106, -350.6726065928932
107, -369.50915897759677
108, -397.14434603207553
109, -392.40891719996125
110, -334.36154247366517
111, -386.1954592887696
112, -427.25844623885763
113, -396.6362045120068
114, -353.27675846145917
115, -408.9392737325426
116, -399.9513453309195
117, -380.25800719133497
118, -365.94720704127093
119, -387.8456999563681
120, -319.2899781131655
121, -378.8453876844357
122, -398.5046841154158
123, -384.3958432434176
124, -383.0592721225704
125, -384.6887833958523
126, -348.28992510429975
127, -386.23176408168973
128, -374.8607033768623
129, -376.85965080142137
130, -403.50061665764554
131, -369.76652065338726
132, -352.6837372591658
133, -399.86191327733263
134, -310.79028314713156
135, -370.78233294688425
136, -387.9719169971442
137, -404.73714592155346
138, -382.2592559854135
139, -404.66532244488417
140, -382.3963843757366
141, -391.27748724988504
142, -384.4045714972762
143, -389.76013189202837
144, -378.74922237468553
145, -404.6268612314723
146, -339.7199768786806
147, -405.5350449994024
148, -325.62587644878704
149, -405.08050713758314
150, -327.40071589716155
151, -397.49130747121137
152, -338.662942385774
153, -385.5373478005475
154, -408.07847700334844
155, -377.6423280441246
156, -343.1095950839803
157, -415.6304609485065
158, -352.72887943229074
159, -387.465505007288
160, -384.7598488086464
161, -349.4077419665661
