iter, logposterior
0, -14307.163697999998
1, -14307.163697999998
2, -14325.389179
3, -14350.128319
4, -14350.565367
5, -14350.601683
6, -14358.112398
7, -14368.449503
8, -14421.579678999999
9, -14445.885755000001
10, -14446.483488999998
11, -14320.505783
12, -14320.803577
13, -14337.863303999999
14, -14404.204094
15, -14380.966663999998
16, -14380.566347999998
17, -14380.169556
18, -14379.549501
19, -14335.633944
20, -14318.389144
21, -14319.713006999998
22, -14327.387612
23, -14313.317077000002
24, -14315.590580000002
25, -14316.23382
26, -14334.100069
27, -14334.154036000002
28, -14337.969183000001
29, -14338.855081
30, -14339.13036
31, -14347.374575
32, -14319.281793
33, -14350.063488
34, -14361.135875
35, -14336.206895
36, -14319.608504
37, -14248.255441
38, -14297.546472
39, -14302.590041
40, -14302.439486000001
41, -14302.591948
42, -14334.301259
43, -14270.417548
44, -14217.926144
45, -14214.218508000002
46, -14219.223288999998
47, -14219.183163999998
48, -14256.109968
49, -14245.141352
50, -14244.605413999998
51, -14243.269753
52, -14294.224245
53, -14309.794654
54, -14286.582174000001
55, -14290.247477
56, -14293.873967
57, -14297.038561000001
58, -14297.158726
59, -14303.633911
60, -14274.579331
61, -14274.349051
62, -14284.393934
63, -14285.379801
64, -14319.583632
65, -14313.14116
66, -14310.272550999998
67, -14309.955494
68, -14310.6692
69, -14297.680603
70, -14296.9056
71, -14327.637531999999
72, -14325.092875
73, -14355.338105
74, -14369.074541
75, -14277.639088
76, -14278.187425
77, -14254.251488999998
78, -14242.221896000001
79, -14325.023944
80, -14305.893352000001
81, -14305.715729
82, -14319.757352
83, -14325.747556999999
84, -14319.427843000001
85, -14302.982484
86, -14330.517176
87, -14343.340525
88, -14343.352604
89, -14331.663299000002
90, -14320.810425
91, -14413.513697999999
92, -14414.701345
93, -14422.967141
94, -14365.468337
95, -14351.33875
96, -14414.810750999999
97, -14302.699707
98, -14322.583157
99, -14268.098891999998
100, -14243.676145
101, -14255.300817
102, -14255.156794
103, -14256.723437999999
104, -14256.808522
105, -14257.08471
106, -14341.051766999999
107, -14339.902887
108, -14361.037053
109, -14317.716262
110, -14335.461501
111, -14321.221577
112, -14321.077331999999
113, -14322.521906
114, -14321.89316
115, -14409.186692
116, -14408.328752000001
117, -14397.466357
118, -14397.608751
119, -14364.877056
120, -14326.54617
121, -14326.198581999999
122, -14325.860399000001
123, -14320.398002000002
124, -14321.303509000001
125, -14296.601459
126, -14296.259161000002
127, -14295.822115
128, -14277.426773
129, -14280.452013999999
130, -14279.534882
131, -14279.949841999998
132, -14280.360391
133, -14280.841265000001
134, -14285.354613999998
135, -14300.587236000001
136, -14302.594596
137, -14243.259609
138, -14281.50259
139, -14282.734580000002
140, -14301.695302000002
141, -14302.237008000002
142, -14275.225061000001
143, -14294.593311
144, -14284.53604
145, -14284.245283000002
146, -14283.029029
147, -14281.694469999999
148, -14281.400594
149, -14281.925281
150, -14282.159176
151, -14281.951834
152, -14282.876011000002
153, -14283.375344999999
154, -14284.298294
155, -14254.879852000002
156, -14256.516585
157, -14270.819852
158, -14276.5599
159, -14295.013449000002
160, -14283.665347999999
161, -14283.291646000001
162, -14237.317497
163, -14237.425521000001
164, -14267.114881
165, -14295.187537
166, -14334.631546
167, -14289.71729
168, -14292.283835
169, -14311.624819
170, -14308.361053
171, -14308.812309
172, -14276.892385
173, -14293.413569
174, -14325.576546
175, -14324.953328
176, -14284.549830000002
177, -14286.065338999999
178, -14316.609371999999
179, -14301.406728
180, -14265.577813999998
181, -14286.197075999999
182, -14288.199681
183, -14336.306302
184, -14349.714616999998
185, -14358.273062
186, -14358.361292
187, -14324.084063999999
188, -14324.022266999998
189, -14287.371668000002
190, -14316.360719999999
191, -14316.567487
192, -14299.749378
193, -14303.491437
194, -14286.462686
195, -14342.285602000002
